sep=,
Time,Temperature,Voltage,Current
s,deg.C/100,V,mA

1036.4845199585,1.083,10.031,1199
1036.9845099449,1.082,10.032,1199
1037.4845099449,1.083,10.032,1199
1037.9844799042,1.084,10.032,1199
1038.4844501019,1.084,10.032,1199
1038.9844999313,1.083,10.032,1199
1039.4844799042,1.084,10.032,1199
1039.9845299721,1.084,10.031,1199
1040.4844999313,1.084,10.031,1199
1040.9845099449,1.085,10.031,1198
1041.4844799042,1.085,10.031,1199
1041.9845099449,1.085,10.031,1199
1042.4845199585,1.085,10.031,1199
1042.9844999313,1.085,10.032,1199
1043.4845199585,1.085,10.031,1198
1043.9845099449,1.085,10.031,1198
1044.4844698906,1.086,10.032,1198
1044.9844799042,1.085,10.031,1198
1045.4844601154,1.085,10.031,1199
1045.9845099449,1.086,10.032,1198
1046.4845099449,1.086,10.032,1198
1046.9845099449,1.086,10.032,1198
1047.4845099449,1.086,10.031,1198
1047.9844799042,1.086,10.031,1198
1048.4845099449,1.086,10.032,1198
1048.9845099449,1.085,10.032,1198
1049.4845099449,1.086,10.031,1198
1049.9844799042,1.086,10.031,1198
1050.4844799042,1.086,10.032,1198
1050.9845199585,1.086,10.032,1198
1051.4845199585,1.086,10.032,1198
1051.9844501019,1.086,10.032,1198
1052.4845099449,1.086,10.032,1198
1052.9844799042,1.086,10.032,1198
1053.4845099449,1.086,10.032,1198
1053.9845099449,1.087,10.032,1198
1054.4845199585,1.087,10.032,1198
1054.9845099449,1.087,10.031,1198
1055.4845099449,1.087,10.031,1197
1055.9844799042,1.086,10.031,1197
1056.4844501019,1.086,10.032,1198
1056.9844899178,1.087,10.032,1198
1057.4844799042,1.086,10.032,1198
1057.9845099449,1.087,10.032,1198
1058.4844698906,1.087,10.032,1198
1058.9845199585,1.087,10.032,1198
1059.4844799042,1.087,10.032,1197
1059.9845099449,1.088,10.032,1198
1060.4845099449,1.087,10.032,1198
1060.9844799042,1.087,10.031,1198
1061.4845099449,1.088,10.032,1198
1061.9845099449,1.088,10.031,1198
1062.4844100475,1.088,10.032,1198
1062.9844899178,1.088,10.031,1197
1063.4845099449,1.088,10.031,1198
1063.9844799042,1.089,10.032,1198
1064.4844899178,1.089,10.032,1198
1064.9845099449,1.089,10.031,1198
1065.4845099449,1.089,10.032,1198
1065.9845099449,1.089,10.031,1198
1066.4845099449,1.089,10.032,1198
1066.9845099449,1.09,10.032,1198
1067.4844999313,1.09,10.032,1198
1067.9845099449,1.09,10.031,1198
1068.4844698906,1.09,10.032,1198
1068.9845099449,1.09,10.032,1198
1069.4845099449,1.09,10.032,1198
1069.9845099449,1.09,10.032,1198
1070.4844799042,1.09,10.032,1198
1070.9845099449,1.09,10.032,1198
1071.4844799042,1.09,10.032,1198
1071.9845099449,1.09,10.032,1198
1072.4845099449,1.091,10.032,1198
1072.9844799042,1.091,10.032,1198
1073.4845099449,1.091,10.032,1198
1073.9845099449,1.092,10.032,1198
1074.4844698906,1.091,10.031,1198
1074.9845099449,1.092,10.032,1198
1075.4844899178,1.092,10.032,1198
1075.9844799042,1.092,10.032,1198
1076.4844999313,1.092,10.032,1198
1076.9845099449,1.092,10.032,1198
1077.4844601154,1.093,10.031,1198
1077.9845099449,1.093,10.031,1198
1078.4845099449,1.093,10.031,1198
1078.9844999313,1.093,10.032,1198
1079.4844799042,1.093,10.032,1198
1079.9844799042,1.094,10.032,1197
1080.4844601154,1.093,10.032,1198
1080.9844899178,1.094,10.032,1198
1081.4844799042,1.094,10.032,1198
1081.9845099449,1.094,10.032,1198
1082.4845099449,1.094,10.032,1198
1082.9845099449,1.094,10.032,1198
1083.4845099449,1.094,10.031,1198
1083.9845099449,1.094,10.031,1198
1084.4844799042,1.094,10.032,1198
1084.9844799042,1.094,10.032,1198
1085.4844799042,1.094,10.032,1198
1085.9844799042,1.094,10.032,1198
1086.4844400883,1.094,10.032,1198
1086.9845099449,1.094,10.032,1198
1087.4844799042,1.094,10.032,1198
1087.9845099449,1.094,10.032,1198
1088.4845099449,1.094,10.032,1198
1088.9844400883,1.095,10.032,1198
1089.4845099449,1.094,10.032,1198
1089.9845199585,1.094,10.032,1198
1090.4844799042,1.094,10.032,1198
1090.9845099449,1.094,10.032,1198
1091.4845099449,1.094,10.032,1198
1091.9845099449,1.095,10.031,1198
1092.4844501019,1.094,10.032,1198
1092.9844899178,1.095,10.032,1198
1093.4844601154,1.095,10.032,1198
1093.9844799042,1.095,10.031,1198
1094.4845099449,1.095,10.032,1198
1094.9845099449,1.095,10.032,1198
1095.4844799042,1.095,10.032,1198
1095.9845199585,1.095,10.032,1198
1096.4844799042,1.095,10.032,1198
1096.9845099449,1.096,10.032,1198
1097.4844799042,1.095,10.032,1198
1097.9845099449,1.096,10.032,1198
1098.4844400883,1.096,10.032,1198
1098.9844799042,1.096,10.032,1199
1099.4845099449,1.096,10.032,1198
1099.9845099449,1.096,10.032,1198
1100.4844601154,1.097,10.032,1198
1100.9844999313,1.097,10.032,1198
1101.4845099449,1.097,10.031,1198
1101.9845199585,1.097,10.032,1198
1102.4845099449,1.097,10.032,1198
1102.9845099449,1.098,10.032,1198
1103.4845099449,1.098,10.032,1198
1103.9845099449,1.098,10.032,1198
1104.4844799042,1.098,10.032,1198
1104.9844899178,1.098,10.032,1198
1105.4844799042,1.098,10.032,1198
1105.9845199585,1.098,10.032,1197
1106.4844799042,1.099,10.032,1198
1106.9845199585,1.099,10.032,1198
1107.4845099449,1.099,10.032,1198
1107.9844799042,1.099,10.032,1198
1108.4845099449,1.099,10.032,1198
1108.9845099449,1.099,10.032,1198
1109.4844601154,1.099,10.031,1198
1109.9844799042,1.099,10.032,1198
1110.4844400883,1.099,10.032,1198
1110.9845099449,1.1,10.032,1198
1111.4845199585,1.099,10.032,1198
1111.9845099449,1.099,10.032,1198
1112.4845099449,1.099,10.032,1198
1112.9845099449,1.099,10.032,1198
1113.4845099449,1.1,10.032,1198
1113.9845099449,1.099,10.032,1198
1114.4845199585,1.099,10.032,1198
1114.9845199585,1.1,10.031,1198
1115.4845199585,1.1,10.032,1198
1115.9844501019,1.1,10.032,1198
1116.4844400883,1.1,10.032,1198
1116.9844799042,1.1,10.032,1198
1117.4844999313,1.1,10.032,1198
1117.9845099449,1.1,10.032,1199
1118.4844601154,1.1,10.032,1198
1118.9845099449,1.1,10.032,1198
1119.4844999313,1.1,10.032,1198
1119.9844799042,1.101,10.032,1198
